ticker,empresa,setor,subsetor,roic_clean,earnings_yield_clean,rank_roic,rank_ey,magic_formula_rank,cotacao,vol_med_2m,pl,pvp,div_yield,lpa,30_dias,12_meses,marg_liquida,data_execucao
ALPA3,ALPARGATAS ON N1,"Tecidos, Vestuário e Calçados",Calçados,9.1,7.158,246,295,541,9.27,43510.0,24.37,1.53,1.0,0.38,26.64,19.88,5.9,2025-09-01
BRAV3,BRAVA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",6.1,10.459999999999999,318,227,545,20.13,139583000.0,5.95,0.76,0.0,3.38,1.98,-23.66,15.4,2025-09-01
NUTR3,NUTRIPLANT ON,Químicos,Fertilizantes e Defensivos,5.7,11.325000000000001,335,212,547,2.87,12370.0,6.68,0.88,0.0,0.43,-9.75,-41.07,2.5,2025-09-01
TUPY4,TUPY PN,Material de Transporte,Material Rodoviário,8.9,7.321,254,293,547,48.21,0.0,-171.19,2.02,0.0,-0.28,0.0,0.0,-0.4,2025-09-01
PRIO3,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",8.6,8.157,269,279,548,37.97,314564000.0,3.21,1.3,0.0,11.81,-10.0,-18.94,73.9,2025-09-01
MRFG3,Marfrig ON NM,Alimentos Processados,Carnes e Derivados,6.7,9.756,306,243,549,24.25,137761000.0,7.35,7.34,12.3,3.3,13.85,94.35,2.4,2025-09-01
ALPA4,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,9.1,6.775,246,303,549,9.78,14334700.0,25.71,1.62,1.1,0.38,14.25,28.9,5.9,2025-09-01
ELUM4,ELUMA PN,,,9.4,6.711,243,306,549,47.9,0.0,14.79,1.99,0.0,3.24,0.0,0.0,8.5,2025-09-01
PRVI3,Providencia ON NM,,,6.1,10.132,318,232,550,10.54,0.0,-11.74,1.61,0.0,-0.9,0.0,0.0,-7.8,2025-09-01
EBCO3,EMBRACO ON,,,5.0,11.521,343,208,551,1.05,0.0,12.03,0.84,0.0,0.09,0.0,0.0,2.9,2025-09-01
PCAR5,PÃO DE AÇÚCAR PNA N1,Comércio e Distribuição,Alimentos,11.1,4.3549999999999995,199,354,553,67.12,0.0,-18.29,12.89,0.0,-3.67,0.0,0.0,-9.4,2025-09-01
VIGR3,VIGOR FOOD ON NM,,,9.1,6.579,246,309,555,25.0,0.0,36.57,2.55,0.0,0.68,0.0,0.0,2.3,2025-09-01
VBBR3,VIBRA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",8.0,8.749,289,266,555,24.11,233816000.0,4.79,1.29,5.5,5.03,13.67,-0.13,3.1,2025-09-01
FESA4,FERBASA PN,Siderurgia e Metalurgia,Siderurgia,5.5,10.977,337,219,556,6.44,3556580.0,8.35,0.68,7.8,0.77,-2.72,-16.6,11.4,2025-09-01
PCAR4,PÃO DE AÇÚCAR PN N1,Comércio e Distribuição,Alimentos,11.1,4.075,199,360,559,72.11,0.0,-19.65,13.85,0.0,-3.67,0.0,0.0,-9.4,2025-09-01
ODER4,CONSERVAS ODERICH SA PN,Alimentos Processados,Alimentos Diversos,9.1,6.046,246,319,565,100.0,0.0,25.17,2.02,0.9,3.97,0.0,0.0,5.7,2025-09-01
TNLP4,TELEMAR PN,,,4.6,11.025,350,217,567,20.36,0.0,25.96,0.71,0.0,0.78,0.0,0.0,-0.1,2025-09-01
TMAR3,TELEMAR ON,,,5.8,9.794,328,240,568,62.0,0.0,166.16,1.04,0.0,0.37,0.0,0.0,-0.4,2025-09-01
TSEP3,TELE SUDESTE CELULAR PART SA ON,,,9.1,5.583,246,326,572,40.0,0.0,33.05,1.79,0.0,1.21,0.0,0.0,5.3,2025-09-01
EMBR3,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,8.4,7.133000000000001,276,296,572,76.54,551949000.0,26.51,3.12,0.1,2.89,-5.11,63.61,5.3,2025-09-01
LAME4,LOJAS AMERICANAS S.A. PN,Comércio,Produtos Diversos,6.5,8.896999999999998,310,264,574,6.55,0.0,20.99,1.89,0.0,0.31,0.0,-14.04,2.5,2025-09-01
LAME3,LOJAS AMERICANAS S.A. ON,Comércio,Produtos Diversos,6.5,8.834,310,265,575,6.62,0.0,21.22,1.91,0.0,0.31,0.0,-7.67,2.5,2025-09-01
RHDS4,M G POLIEST PN,Químicos,Petroquímicos,11.8,1.402,185,391,576,1.0,0.0,363.45,29.5,0.0,0.0,0.0,0.0,1.2,2025-09-01
GVTT3,GVT HOLDING ON NM,,,10.3,3.752,215,362,577,57.7,0.0,57.38,3.68,0.0,1.01,0.0,0.0,7.5,2025-09-01
DMVF3,D1000VFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,2.1,12.837000000000002,395,183,578,4.77,239323.0,12.42,0.27,0.0,0.38,-0.21,-33.01,0.8,2025-09-01
PNVL3,PANVEL FARMÁCIAS ON,Comércio e Distribuição,Medicamentos e Outros Produtos,7.7,7.716000000000001,292,288,580,9.95,3343440.0,12.75,1.21,3.7,0.78,9.34,2.1,2.3,2025-09-01
LOGN3,Log-In ON NM,Transporte,Transporte Hidroviário,8.1,7.252,286,294,580,23.85,390844.0,28.6,2.45,0.0,0.83,-6.51,-31.88,3.1,2025-09-01
TMGC7,TELEMIG CELULAR PNC,,,8.7,6.053,262,318,580,800.01,0.0,12.68,1.63,0.0,63.11,0.0,0.0,9.2,2025-09-01
GLOB4,CASAS BAHIA PN,Comércio,Eletrodomésticos,8.2,6.9639999999999995,282,299,581,30.49,0.0,-11.18,12.95,0.0,-2.73,0.0,0.0,-6.3,2025-09-01
SOJA3,BOA SAFRA ON NM,Agropecuária,Agricultura,5.8,9.107,328,258,586,10.52,4287080.0,14.06,1.05,2.8,0.75,1.54,-16.25,8.9,2025-09-01
CZLT33,Cosan Ltd DR3,,,5.3,9.747,342,244,586,29.23,0.0,11.24,1.39,0.0,2.6,0.0,0.0,9.1,2025-09-01
FLCL6,CATAG LEOPOLDINA PNB,,,10.0,3.2099999999999995,225,367,592,9.91,0.0,47.33,10.66,0.0,0.21,0.0,0.0,6.5,2025-09-01
CVCB3,CVC BRASIL ON NM,Viagens e Lazer,Viagens e Turismo,4.5,9.823,354,239,593,2.14,22547400.0,-11.17,2.4,0.0,-0.19,-9.32,8.63,-6.8,2025-09-01
IGUA5,CIA. IGUAÇU DE CAFÉ SOLÚVEL PNA,,,7.6,6.834999999999999,294,301,595,7.98,0.0,-12.26,-1.41,0.0,-0.65,0.0,0.0,-4.5,2025-09-01
IGUA6,CIA. IGUAÇU DE CAFÉ SOLÚVEL PNB,,,7.6,6.793,294,302,596,8.07,0.0,-12.4,-1.43,0.0,-0.65,0.0,0.0,-4.5,2025-09-01
TNLP3,TELEMAR ON,,,4.6,9.699,350,246,596,27.75,0.0,35.39,0.96,0.0,0.78,0.0,0.0,-0.1,2025-09-01
FLCL3,CATAG LEOPOLDINA ON,,,10.0,2.835,225,372,597,11.5,0.0,54.92,12.37,0.0,0.21,0.0,0.0,6.5,2025-09-01
IGUA3,CIA. IGUAÇU DE CAFÉ SOLÚVEL ON,,,7.6,6.757000000000001,294,304,598,8.15,0.0,-12.52,-1.44,0.0,-0.65,0.0,0.0,-4.5,2025-09-01
TMGC11,TELEMIG CELULAR PNE,,,8.7,5.333,262,336,598,900.0,0.0,14.26,1.83,0.0,63.11,0.0,0.0,9.2,2025-09-01
PTNT4,PETTENATI PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,4.9,9.56,348,250,598,4.8,76803.0,5.98,0.52,5.6,0.8,2.56,-31.09,7.2,2025-09-01
LUXM3,TREVISA INVESTIMENTOS SA ON,Transporte,Transporte Hidroviário,9.1,4.505,246,353,599,10.0,0.0,11.14,2.59,0.0,0.9,0.0,0.0,25.9,2025-09-01
FLCL5,CATAG LEOPOLDINA PNA,,,10.0,2.641,225,375,600,12.5,0.0,59.7,13.45,0.0,0.21,0.0,0.0,6.5,2025-09-01
FFTL3,FOSFERTIL ON,Químicos,Fertilizantes e Defensivos,8.9,4.8660000000000005,254,347,601,25.0,0.0,53.22,2.26,0.0,0.47,0.0,0.0,8.2,2025-09-01
FFTL4,FOSFERTIL PN,Químicos,Fertilizantes e Defensivos,8.9,4.854,254,348,602,25.06,0.0,53.34,2.26,0.0,0.47,0.0,0.0,8.2,2025-09-01
BEMA3,Bematech ON NM,Computadores e Equipamentos,Computadores e Equipamentos,7.0,6.93,303,300,603,10.8,0.0,15.32,1.22,0.0,0.7,0.0,0.0,8.4,2025-09-01
JOPA3,JOSAPAR S/A ON,Alimentos Processados,Alimentos Diversos,4.6,9.407,350,253,603,20.51,97.0,30.69,0.36,3.1,0.67,-6.77,-7.49,0.6,2025-09-01
TMGC13,TELEMIG CELULAR PNG,,,8.7,4.9430000000000005,262,343,605,966.14,0.0,15.31,1.96,0.0,63.11,0.0,0.0,9.2,2025-09-01
SMTO3,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool,5.9,8.052,325,281,606,18.16,34535800.0,11.76,0.87,5.0,1.54,4.73,-32.04,7.0,2025-09-01
FRIO3,Metalfrio ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,8.4,5.362,276,334,610,229.99,16023.0,141.29,4.11,0.0,1.63,-8.0,21.05,0.2,2025-09-01
GBIO33,BIOTOSCANA DR3,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,7.1,6.227,300,312,612,10.4,0.0,-14.97,1.32,0.0,-0.69,0.0,6.12,-10.1,2025-09-01
JOPA4,JOSAPAR S/A PN,Alimentos Processados,Alimentos Diversos,4.6,8.961,350,263,613,24.0,0.0,35.91,0.42,2.9,0.67,0.0,-31.39,0.6,2025-09-01
USIM6,USIMINAS PNB N1,Siderurgia e Metalurgia,Siderurgia,3.4,9.56,372,250,622,8.0,0.0,26.65,0.41,0.0,0.3,0.0,-19.19,2.0,2025-09-01
RLOG3,COSAN LOG ON NM,Transporte,Transporte Ferroviário,5.4,8.045,341,282,623,23.08,0.0,82.76,4.26,0.0,0.28,0.0,16.29,7.1,2025-09-01
TESA3,TERRA SANTA ON NM,Agropecuária,Agricultura,6.4,6.557,313,310,623,48.0,0.0,-13.3,1.62,0.0,-3.61,0.0,15.66,-7.6,2025-09-01
LCAM3,LOCAMERICA ON NM,Diversos,Aluguel de carros,9.6,1.9619999999999997,239,384,623,24.15,0.0,41.56,5.61,0.0,0.58,0.0,0.0,18.5,2025-09-01
CBAV3,CBA ON NM,Mineração,Minerais Metálicos,4.2,8.749,359,266,625,3.45,26818300.0,11.92,0.52,0.0,0.29,-26.28,-30.72,3.3,2025-09-01
TANC4,TAM PN,Transporte,Transporte Aéreo,6.4,6.173,313,314,627,43.0,0.0,-18.54,3.1,0.0,-2.32,0.0,0.0,-2.2,2025-09-01
TMGC3,TELEMIG CELULAR ON,,,8.7,3.1109999999999998,262,369,631,1500.0,0.0,23.77,3.05,0.0,63.11,0.0,0.0,9.2,2025-09-01
PNVL4,PANVEL FARMÁCIAS PN,Comércio e Distribuição,Medicamentos e Outros Produtos,7.7,5.086,292,341,633,18.62,0.0,23.85,2.27,0.0,0.78,0.0,0.0,2.3,2025-09-01
ETER3,ETERNIT ON,Construção e Engenharia,Produtos para Construção,3.1,9.099,378,259,637,4.54,421660.0,6.0,0.34,2.0,0.76,21.39,-21.3,4.0,2025-09-01
TAMM3,TAM ON,Transporte,Transporte Aéreo,6.4,5.562,313,327,640,52.6,0.0,-22.68,3.79,0.0,-2.32,0.0,0.0,-2.2,2025-09-01
TAMM4,TAM PN,Transporte,Transporte Aéreo,6.4,5.552,313,328,641,52.73,0.0,-22.74,3.8,0.0,-2.32,0.0,0.0,-2.2,2025-09-01
AEDU11,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA UNT,Diversos,Serviços Educacionais,5.8,6.196,328,313,641,37.35,0.0,20.13,1.13,0.0,1.86,0.0,0.0,7.0,2025-09-01
TASA4,TAURUS ARMAS PN,Máquinas e Equipamentos,Armas e Munições,4.4,7.831,355,286,641,4.78,2386280.0,5.62,0.52,3.9,0.85,-1.65,-52.28,7.6,2025-09-01
TASA3,TAURUS ARMAS ON,Máquinas e Equipamentos,Armas e Munições,4.4,7.507999999999999,355,291,646,5.17,105690.0,6.08,0.57,3.6,0.85,-11.93,-48.96,7.6,2025-09-01
ATED3,ATOM EDUC ON,Diversos,Serviços Educacionais,8.0,3.646,289,363,652,2.14,46371.0,-10.16,2.45,0.0,-0.21,1.42,36.31,-11.4,2025-09-01
PTNT3,PETTENATI ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,4.9,6.7250000000000005,348,305,653,8.07,7527.0,10.06,0.88,3.4,0.8,-7.88,-11.55,7.2,2025-09-01
PTBL4,PORTOBELLO S/A PN,Construção e Engenharia,Produtos para Construção,3.9,7.57,366,290,656,2.59,0.0,-2.49,1.47,0.0,-1.04,0.0,0.0,-5.7,2025-09-01
MOSI3,MOSAICO SA ON NM,Programas e Serviços,Programas e Serviços,8.1,2.327,286,381,667,8.24,0.0,32.29,1.56,0.0,0.26,0.0,-46.63,14.7,2025-09-01
GUAR4,GUARARAPES CONFECÇÕES PN,Comércio,"Tecidos, Vestuário e Calçados",8.5,1.246,274,394,668,151.0,0.0,183.1,13.64,0.0,0.82,0.0,0.0,4.0,2025-09-01
LWSA3,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,4.0,6.622999999999999,361,307,668,4.14,23679000.0,78.06,0.85,3.0,0.05,10.94,-6.25,2.1,2025-09-01
MRSL4,MARISOL PN,"Tecidos, Vestuário e Calçados",Vestuário,4.4,6.0569999999999995,355,317,672,3.05,0.0,9.48,0.91,0.0,0.32,0.0,0.0,8.7,2025-09-01
LAND3,TERRASANTAPA ON NM,Agropecuária,Agricultura,5.7,5.258,335,338,673,10.0,191775.0,58.98,1.31,0.7,0.17,-6.89,-20.85,19.0,2025-09-01
RSIP3,RASIP AGRO PASTORIL ON,Agropecuária,Agricultura,5.0,5.411,343,331,674,0.44,0.0,22.7,1.32,0.0,0.02,0.0,0.0,3.9,2025-09-01
RSIP4,RASIP AGRO PASTORIL PN,Agropecuária,Agricultura,5.0,5.411,343,331,674,0.44,0.0,22.7,1.32,0.0,0.02,0.0,0.0,3.9,2025-09-01
PTBL3,PORTOBELLO S/A ON,Construção e Engenharia,Produtos para Construção,3.9,6.6049999999999995,366,308,674,4.0,893677.0,-3.84,2.27,0.0,-1.04,-1.23,-18.2,-5.7,2025-09-01
MRSL3,MARISOL ON,"Tecidos, Vestuário e Calçados",Vestuário,4.4,5.6370000000000005,355,324,679,3.3,0.0,10.25,0.99,0.0,0.32,0.0,0.0,8.7,2025-09-01
TMCP3,TELEMIG CELULAR PARTICIPAÇÕES S.A. ON,,,5.5,5.081,337,342,679,56.0,0.0,18.58,1.38,0.0,3.01,0.0,0.0,9.8,2025-09-01
SDIA4,SADIA PN N1,Alimentos Processados,Carnes e Derivados,5.9,4.32,325,355,680,6.42,0.0,-1.59,9.41,0.0,-4.03,0.0,0.0,-25.1,2025-09-01
SDIA3,SADIA ON N1,Alimentos Processados,Carnes e Derivados,5.9,4.32,325,355,680,6.42,0.0,-1.59,9.41,0.0,-4.03,0.0,0.0,-25.1,2025-09-01
DAGB33,DUFRY AG DR3,Comércio,Produtos Diversos,5.0,5.167999999999999,343,339,682,375.0,0.0,71.75,1.6,0.0,5.23,0.0,0.0,1.7,2025-09-01
FESA3,FERBASA ON,Siderurgia e Metalurgia,Siderurgia,5.5,4.883,337,346,683,12.1,1739.0,15.68,1.27,3.8,0.77,6.14,-8.83,11.4,2025-09-01
